pos_largura,pos_altura,quadratico,valor
0,0,64,255
64,0,64,255
128,0,16,128
144,0,16,128
128,16,16,128
136,16,16,128
144,16,16,128
144,24,16,128
160,0,16,128
160,8,16,128
176,0,16,128
160,16,16,128
176,16,16,128
128,32,16,128
136,32,16,128
144,32,16,128
128,48,8,64
136,48,8,64
128,56,8,64
136,56,8,64
144,48,8,64
152,48,8,64
144,56,8,64
152,56,8,64
160,32,16,128
176,32,16,128
160,48,16,128
160,56,16,128
176,48,16,128
176,56,16,128
192,0,32,192
224,0,16,128
240,0,16,128
224,16,8,64
232,16,8,64
224,24,8,64
232,24,8,64
240,16,8,64
248,16,8,64
240,24,8,64
248,24,8,64
192,32,16,128
208,32,8,64
216,32,8,64
208,40,8,64
216,40,8,64
192,48,16,128
208,48,16,128
216,48,16,128
224,32,16,128
240,32,16,128
240,40,16,128
224,48,16,128
240,48,16,128
240,56,16,128
256,0,16,128
272,0,16,128
256,16,8,64
264,16,8,64
256,24,8,64
264,24,8,64
272,16,16,128
272,24,16,128
288,0,16,128
304,0,16,128
288,16,16,128
296,16,16,128
304,16,16,128
304,24,16,128
256,32,16,128
272,32,16,128
256,48,8,64
264,48,8,64
256,56,8,64
264,56,8,64
272,48,16,128
272,56,16,128
288,32,32,192
320,0,32,192
352,0,32,192
320,32,16,128
336,32,16,128
320,48,16,128
336,48,16,128
344,48,16,128
352,32,16,128
368,32,16,128
352,48,16,128
368,48,16,128
384,0,16,128
400,0,8,64
408,0,8,64
400,8,8,64
408,8,8,64
384,16,16,128
400,16,16,128
416,0,8,64
424,0,8,64
416,8,8,64
424,8,8,64
432,0,8,64
440,0,8,64
432,8,8,64
440,8,8,64
416,16,16,128
432,16,16,128
384,32,32,192
416,32,16,128
416,40,16,128
432,32,16,128
416,48,16,128
416,56,16,128
432,48,16,128
448,0,32,192
480,0,32,192
448,32,16,128
448,40,16,128
464,32,16,128
472,32,16,128
448,48,8,64
456,48,8,64
448,56,8,64
456,56,8,64
464,48,8,64
472,48,8,64
464,56,8,64
472,56,8,64
480,32,16,128
496,32,8,64
504,32,8,64
496,40,8,64
504,40,8,64
480,48,8,64
488,48,8,64
480,56,8,64
488,56,8,64
496,48,8,64
504,48,8,64
496,56,8,64
504,56,8,64
512,0,16,128
528,0,16,128
528,8,16,128
512,16,8,64
520,16,8,64
512,24,8,64
520,24,8,64
528,16,16,128
544,0,16,128
560,0,8,64
568,0,8,64
560,8,8,64
568,8,8,64
544,16,16,128
560,16,16,128
512,32,16,128
528,32,16,128
512,48,16,128
528,48,16,128
544,32,32,192
544,48,32,192
576,0,16,128
592,0,16,128
576,16,16,128
592,16,16,128
608,0,32,192
576,32,16,128
576,40,16,128
592,32,8,64
600,32,8,64
592,40,8,64
600,40,8,64
576,48,16,128
592,48,16,128
608,32,32,192
640,0,32,192
672,0,8,64
680,0,8,64
672,8,8,64
680,8,8,64
688,0,16,128
672,16,16,128
688,16,16,128
640,32,32,192
672,32,16,128
688,32,16,128
672,48,8,64
680,48,8,64
672,56,8,64
680,56,8,64
688,48,16,128
704,0,32,192
736,0,16,128
736,8,16,128
752,0,8,64
760,0,8,64
752,8,8,64
760,8,8,64
736,16,16,128
744,16,16,128
752,16,8,64
760,16,8,64
752,24,8,64
760,24,8,64
704,32,32,192
736,32,16,128
752,32,8,64
760,32,8,64
752,40,8,64
760,40,8,64
736,48,16,128
752,48,16,128
768,0,16,128
784,0,8,64
792,0,8,64
784,8,8,64
792,8,8,64
768,16,8,64
776,16,8,64
768,24,8,64
776,24,8,64
784,16,16,128
784,24,16,128
800,0,32,192
768,32,32,192
800,32,16,128
816,32,8,64
824,32,8,64
816,40,8,64
824,40,8,64
800,48,16,128
816,48,8,64
824,48,8,64
816,56,8,64
824,56,8,64
832,0,32,192
864,0,16,128
880,0,16,128
864,16,16,128
880,16,8,64
888,16,8,64
880,24,8,64
888,24,8,64
832,32,32,192
864,32,8,64
872,32,8,64
864,40,8,64
872,40,8,64
880,32,16,128
888,32,16,128
864,48,16,128
864,56,16,128
880,48,16,128
896,0,16,128
912,0,8,64
920,0,8,64
912,8,8,64
920,8,8,64
896,16,16,128
912,16,16,128
