frame_index,pos_coluna,pos_linha,largura,altura,valor
0,0,0,32,32,204
0,32,0,16,16,153
0,48,0,16,16,153
0,32,16,16,16,153
0,48,16,16,16,153
0,0,32,8,16,153
0,8,32,8,16,153
0,16,32,16,16,153
0,0,48,16,16,153
0,16,48,16,16,153
0,32,32,4,4,51
0,40,32,8,8,102
0,32,40,4,8,102
0,40,40,8,4,102
0,48,32,16,16,153
0,32,48,8,8,102
0,40,48,8,8,102
0,32,56,4,8,102
0,40,56,8,8,102
0,48,48,16,16,153
0,64,0,16,16,153
0,80,0,8,8,102
0,88,0,8,8,102
0,80,8,8,8,102
0,88,8,8,8,102
0,64,16,16,16,153
0,80,16,16,16,153
0,96,0,16,8,153
0,96,8,16,8,153
0,112,0,16,16,153
0,96,16,8,8,102
0,104,16,8,8,102
0,96,24,8,4,102
0,104,24,8,4,102
0,112,16,16,16,153
0,64,32,16,16,153
0,80,32,8,4,102
0,88,32,8,8,102
0,80,40,8,8,102
0,88,40,8,8,102
0,64,48,16,16,153
0,80,48,8,8,102
0,88,48,8,8,102
0,80,56,8,8,102
0,88,56,4,4,51
0,96,32,8,8,102
0,104,32,8,8,102
0,96,40,8,8,102
0,104,40,8,8,102
0,112,32,16,16,153
0,96,48,16,16,153
0,112,48,8,8,102
0,120,48,8,8,102
0,112,56,8,8,102
0,120,56,8,8,102
0,128,0,8,8,102
0,136,0,8,4,102
0,128,8,8,8,102
0,136,8,8,4,102
0,144,0,8,4,102
0,152,0,8,8,102
0,144,8,8,4,102
0,152,8,8,8,102
0,128,16,16,16,153
0,144,16,16,16,153
0,160,0,16,8,153
0,160,8,16,8,153
0,176,0,16,16,153
0,160,16,16,8,153
0,160,24,16,8,153
0,176,16,4,4,51
0,184,16,8,4,102
0,176,24,8,8,102
0,184,24,8,8,102
0,128,32,8,8,102
0,136,32,8,8,102
0,128,40,8,8,102
0,136,40,8,4,102
0,144,32,16,16,153
0,128,48,8,8,102
0,136,48,8,4,102
0,128,56,8,8,102
0,136,56,8,8,102
0,144,48,16,16,153
0,160,32,16,16,153
0,176,32,8,8,102
0,184,32,8,8,102
0,176,40,8,4,102
0,184,40,4,4,51
0,160,48,16,16,153
0,176,48,8,8,102
0,184,48,8,8,102
0,176,56,8,4,102
0,184,56,8,8,102
0,192,0,16,8,153
0,192,8,16,8,153
0,208,0,8,4,102
0,216,0,8,8,102
0,208,8,8,8,102
0,216,8,8,8,102
