pos_largura,pos_altura,quadratico,valor
0,0,64,255
64,0,64,255
128,0,64,255
160,0,64,255
192,0,32,192
224,0,32,192
192,32,32,192
192,48,32,192
224,32,16,128
240,32,8,64
248,32,8,64
240,40,8,64
248,40,8,64
224,48,16,128
240,48,16,128
256,0,16,128
272,0,16,128
256,16,16,128
272,16,16,128
272,24,16,128
288,0,16,128
304,0,16,128
288,16,16,128
304,16,16,128
256,32,32,192
288,32,16,128
304,32,16,128
288,48,8,64
296,48,8,64
288,56,8,64
296,56,8,64
304,48,8,64
312,48,8,64
304,56,8,64
312,56,8,64
320,0,16,128
336,0,16,128
320,16,8,64
328,16,8,64
320,24,8,64
328,24,8,64
336,16,8,64
344,16,8,64
336,24,8,64
344,24,8,64
352,0,16,128
368,0,16,128
352,16,16,128
360,16,16,128
368,16,8,64
376,16,8,64
368,24,8,64
376,24,8,64
320,32,16,128
328,32,16,128
336,32,8,64
344,32,8,64
336,40,8,64
344,40,8,64
320,48,16,128
336,48,16,128
352,32,16,128
368,32,8,64
376,32,8,64
368,40,8,64
376,40,4,0
352,48,8,64
360,48,8,64
352,56,8,64
360,56,8,64
368,48,8,64
376,48,8,64
368,56,8,64
376,56,8,64
384,0,16,128
384,8,16,128
400,0,16,128
384,16,16,128
384,24,16,128
400,16,8,64
408,16,8,64
400,24,8,64
408,24,8,64
416,0,16,128
432,0,8,64
440,0,8,64
432,8,8,64
440,8,8,64
416,16,16,128
432,16,16,128
432,24,16,128
384,32,16,128
400,32,16,128
384,48,16,128
400,48,16,128
416,32,8,64
424,32,8,64
416,40,8,64
424,40,8,64
432,32,8,64
440,32,4,0
432,40,8,64
440,40,8,64
416,48,16,128
432,48,16,128
448,0,8,64
456,0,8,64
448,8,8,64
456,8,4,0
464,0,8,64
472,0,8,64
464,8,8,64
472,8,8,64
448,16,8,64
456,16,8,64
448,24,8,64
456,24,8,64
464,16,16,128
480,0,32,192
448,32,8,64
456,32,8,64
448,40,8,64
456,40,4,0
464,32,8,64
472,32,8,64
464,40,8,64
472,40,4,0
448,48,8,64
456,48,4,0
448,56,8,64
456,56,8,64
464,48,8,64
472,48,8,64
464,56,8,64
472,56,8,64
480,32,32,192
480,48,32,192
512,0,32,192
544,0,32,192
512,32,16,128
528,32,16,128
512,48,16,128
528,48,16,128
544,32,32,192
576,0,16,128
592,0,16,128
576,16,16,128
576,24,16,128
592,16,16,128
608,0,16,128
624,0,16,128
608,16,16,128
624,16,16,128
576,32,32,192
608,32,32,192
640,0,16,128
640,8,16,128
656,0,4,0
664,0,4,0
656,8,8,64
664,8,8,64
640,16,16,128
656,16,8,64
664,16,8,64
656,24,8,64
664,24,4,0
672,0,8,64
680,0,8,64
672,8,8,64
680,8,8,64
688,0,16,128
672,16,8,64
680,16,8,64
672,24,8,64
680,24,8,64
688,16,8,64
696,16,8,64
688,24,8,64
696,24,8,64
640,32,32,192
672,32,8,64
680,32,8,64
672,40,8,64
680,40,8,64
688,32,8,64
696,32,8,64
688,40,8,64
696,40,8,64
672,48,8,64
680,48,8,64
672,56,8,64
680,56,8,64
688,48,8,64
696,48,8,64
688,56,8,64
696,56,8,64
704,0,64,255
768,0,64,255
832,0,32,192
864,0,8,64
872,0,8,64
864,8,8,64
872,8,8,64
880,0,8,64
888,0,8,64
880,8,8,64
888,8,8,64
864,16,8,64
872,16,8,64
864,24,8,64
872,24,8,64
880,16,16,128
888,16,16,128
832,32,32,192
864,32,16,128
880,32,4,0
888,32,8,64
880,40,8,64
888,40,8,64
864,48,16,128
880,48,8,64
888,48,8,64
880,56,8,64
888,56,8,64
896,0,16,128
912,0,16,128
896,16,8,64
904,16,8,64
896,24,8,64
904,24,8,64
912,16,16,128
928,0,32,192
896,32,8,64
904,32,8,64
896,40,4,0
904,40,8,64
912,32,16,128
896,48,8,64
904,48,8,64
896,56,8,64
904,56,8,64
912,48,16,128
928,32,32,192
960,0,64,255
1024,0,32,192
1056,0,16,128
1072,0,8,64
1080,0,8,64
1072,8,8,64
1080,8,8,64
1056,16,16,128
1072,16,16,128
1024,32,32,192
1056,32,16,128
1072,32,16,128
1056,48,16,128
1072,48,16,128
1080,48,16,128
